active_addresses,day
462769,2024-10-20 00:00:00.000 UTC
482336,2024-10-21 00:00:00.000 UTC
479203,2024-10-22 00:00:00.000 UTC
496061,2024-10-23 00:00:00.000 UTC
453817,2024-10-24 00:00:00.000 UTC
585658,2024-10-25 00:00:00.000 UTC
513504,2024-10-26 00:00:00.000 UTC
452845,2024-10-27 00:00:00.000 UTC
535355,2024-10-28 00:00:00.000 UTC
580910,2024-10-29 00:00:00.000 UTC
553378,2024-10-30 00:00:00.000 UTC
562549,2024-10-31 00:00:00.000 UTC
556937,2024-11-01 00:00:00.000 UTC
504260,2024-11-02 00:00:00.000 UTC
452488,2024-11-03 00:00:00.000 UTC
518019,2024-11-04 00:00:00.000 UTC
548495,2024-11-05 00:00:00.000 UTC
622566,2024-11-06 00:00:00.000 UTC
583391,2024-11-07 00:00:00.000 UTC
591255,2024-11-08 00:00:00.000 UTC
502340,2024-11-09 00:00:00.000 UTC
564886,2024-11-10 00:00:00.000 UTC
623756,2024-11-11 00:00:00.000 UTC
702613,2024-11-12 00:00:00.000 UTC
636590,2024-11-13 00:00:00.000 UTC
587386,2024-11-14 00:00:00.000 UTC
619495,2024-11-15 00:00:00.000 UTC
581985,2024-11-16 00:00:00.000 UTC
518084,2024-11-17 00:00:00.000 UTC
569925,2024-11-18 00:00:00.000 UTC
547132,2024-11-19 00:00:00.000 UTC
557264,2024-11-20 00:00:00.000 UTC
666196,2024-11-21 00:00:00.000 UTC
628961,2024-11-22 00:00:00.000 UTC
590148,2024-11-23 00:00:00.000 UTC
534908,2024-11-24 00:00:00.000 UTC
593157,2024-11-25 00:00:00.000 UTC
568081,2024-11-26 00:00:00.000 UTC
599700,2024-11-27 00:00:00.000 UTC
559053,2024-11-28 00:00:00.000 UTC
551875,2024-11-29 00:00:00.000 UTC
583647,2024-11-30 00:00:00.000 UTC
501245,2024-12-01 00:00:00.000 UTC
578841,2024-12-02 00:00:00.000 UTC
613584,2024-12-03 00:00:00.000 UTC
606513,2024-12-04 00:00:00.000 UTC
